SITUACAO_COMPRA;PRECO_VENDA4ANT;MARKUP_PRECO_VENDA2;MARKUP_PRECO_VENDA3;MARKUP_PRECO_VENDA4;PRODUTO_BALANCA;ACOMPANHAMENTO;EXPORTAR_MOBILE;CODIGO_GRUPO;N_SAIS;PESO;CUBICAGEM;QTDE_PRODUTOS_PRATELEIRA;PRECO_CUSTO_ELETRONICO;CODIGO_DUN14;PSICOTROPICO;USO_CONTINUO;TIPO_RECEITA;TIPO_PRECO;CODIGO_LINHA;ATUALIZA_PRECO_ELETRO;MARKUP;INFORMA_DESC_VENDA;COR_ID;MEDIDA;GRADE_ID;MULTIPLICADOR;AUTORIA;IPI_ENTRADA;PRECO_VENDA2;PRECO_VENDA3;PRECO_VENDA2ANT;PRECO_VENDA3ANT;MARKUP_PRECO_VENDA;GERA_AUDITORIA;CODIGO_CLASSE;PART_NUMBER;VALOR_IPI_FIXO;VALOR_PIS_FIXO;VALOR_COFINS_FIXO;TIPO_MEDICAMENTO;LC_SERVICO_COD;PERMITIR_ALTERAR_PCO_NA_VENDA;ALTERA_PRECO;CODIGO_PROFIS;PRECO_FABRICA_DOLAR;PRECO_CUSTO_DOLAR;FATOR_MEDIDA;MAXIMO_PERCENTUAL;OBSERVACAO_ID;OBSERVACAO_ID_FORA;OBSERVACAO_ID_EXTERIOR;ICMS_INTERNO_RET;ORIGEM_MERCADORIA;MARKUP_MINIMO;QTDECOMPRIMIDOS;REDUCAO_BASE_ISSQN;LOTE_AUTOMATICO_ENTRADA;ISSQN;TRIBUTAVEL_EXPORTACAO;FRETE_BASE_ICMS;ULTIMO_CODIGO_EXP;IPPT;IAT;CODIGO_CNAE;PRECO_MAXIMO_CONSUMIDORANT;TIPO_PRODUTO_MEDICAMENTO;ESTRUTURA_ID;NAOSUGERIRCOMPRA;PERCENTDESCPROMOCAO;IMPORTACAO_CONDICAO;ATUALIZARPRCFABRICA;PRECO_PROMOCAO;PRECO_PROMOCAO_VENCTO;DATA_ALTERACAO_PRECOFABRICA;REDUCAO_BASE;CODIGO_PRO_ANT;REDUCAO_BASE_FORA;PRECO_DOLAR_ATUALIZA;PESO_BRUTO;PRECO_CUSTO_CONTABIL;DELIVERY;DELIVERY_DIAS_CONSUMO;TIPO_PRODUTO;FORMAR_PRECO_VENDA;CLASSIFICACAO_FISCAL;INTEGRAR;COMOFORMAR_PRECO_ENTRADA;PRECO_MAXIMO_CONSUMIDOR;NOTA_FISCAL;PRECO_VENDAANT;CODIGO_PRO;DATA_CADASTRO;MARCA;CODIGO_EXP;NOME_PRODUTO;NOME_PRODUTO_CIENTIFICO;DESCRICAO_COMPRA;GENERICO;CC_DESCONTO_EQUILIBRIO;QUANTIDADE_CAIXA;ALTURA;LARGURA;PRECO_MEDIO_FABRICA;PRCREFFARMAPOPULAR;PERC_COFINS;PERC_PIS;COMISSAO_REVENDA_FORNECEDOR;ICMS_INTERNO;PIS_CONFINS;TRIBUTAVEL;TRIBUTAVEL_FORA;PRECO_CUSTO;FATOR_DE_LUCRO;FATOR_DE_LUCROMINIMO;PRECO_FABRICA;PRECO_MEDIO;PRECO_MINIMO1;PRECO_VENDA1;UNIDADE;ENDERECO_ESTOQ;ENDERECO_PRAT;CODIGO_BARRA;CODIGO_AUXILIAR;CODIGO_INDUSTRIA;COD_ITX;BONIF_COMPRA;BONIF_VENDA;BUSCA_LOTE;CODIGO_PRAZO;COMISSAO;EMBALAGEM_PADRAO;ESTIMATIVA;FRACAO_VENDA;HOSPITALAR;SUSPENSO;IPI;PRODUTO_ESPECIAL;PRECO_CUSTOANT;PRECO_MINIMOANT;PRECO_MEDIOANT;PRECO_FABRICAANT;PRECO_DOLARANT;PRECO_DOLAR_MINIMO;NOME_LICITACAO;COMPRA_COTACAO;MARKUP_PRECO_MINIMO;DESCONTO1;DESCONTO2;DESCONTO3;PRECO_VENDA4;REFRIGERADO;PRECO_FORMADO;PERC_COMERCIAL;PERC_FINANCEIRO;CODIGO_GENERO;SNGPC;REGISTRO_MS;PESO_EMBALAGEM;REFERENCIA;PRECO_DOLAR_MINIMOANT;CONSISTE_ESTOQUE;ETIQUETA_PRODUTO;DESTACAR_OBS_ESPECIAL;TIPO_MARKETING;PESO_MEDIDA;ACEITA_DESC_BONIFICACAO;ACEITA_DESC_COMERCIAL;ACEITA_DESC_FINANCEIRO;DESCONTO_MAXIMO;SOLICAUTORIZVENDA;ICMS_EXTERNO;DIAS_GARANTIA;PRECO_VENDANOVO;PRECO_VENDANOVO_DATA;GERAR_TAREFA;PRECO_DOLAR;DATA_HORA_ALTERACAO;EMPRESA_ALTERACAO;USUARIO_ALTERACAO;PRECO_MINIMO1_PADRAO;PRECO_VENDA1_PADRAO;PRECO_DOLAR_PADRAO;CST_PIS;CST_COFINS;CODIGO_REA;SUSPENSO_COMPRA;QTD_PARC_APROP_CIAP;RECEITA_PRODUTO;CONSISTE_PCO_MINIMO_CONTACORR;RECEITA_CREDITO_PISCOFINS;TIPO_MEDICAMENTO_SNGPC;FUNCAO_BEM;VIDA_UTIL_BEM;ENDERECO_PULMAO;ALOCACAO_ESPECIAL;QTD_FARMACIA_POPULAR;UNI_FARMACIA_POPULAR;CALCULA_CONTA_CORRENTE;WMS;NFE_PRECO_LIQUIDO;ISENCAO_PARTILHA_ICMS;QTD_MULTIPLA_VENDA;DESTACA_FUNDO_COMBATE_POBREZA;PRAZO_VALIDADE;PRECO_VENDA5ANT;PRECO_VENDA6ANT;ID_DEPTO_PRODUTO;ENVIAR_ECOMMERCE;PESO_CUBICO;COMPRIMENTO;URL_IMAGEM_ECOMMERCE;ID_CATEGORIA;MARCA_ID;CEST;PRECO_VENDA5;MARKUP_PRECO_VENDA5;PRECO_VENDA6;MARKUP_PRECO_VENDA6;PERC_LIMITE_COMISSAO_PROD;PRECO_MEDIO_CONTABIL;DESATIVACAO_AUTOMATICA;ID_PRODUTO_OCART;DETALHE_PRODUTO;PERC_VERBA_CUSTO;NAOSUGERIRESTOQUEMINIMO;ENTRADA_ESTOQUE_QUARENTENA;CATALOGO_ID;ENVIAR_WHATSAPP;WHATSAPP_NOME;WHATSAPP_DESCRICAO;WHATSAPP_PRECO;WHATSAPP_DATA_HORA_SINC;QTDE_DIAS_RETORNO_QUARENTENA;QTDE_CAIXA_PCP;SUBIR_CADASTRO_API;POTENCIA;PCP_NUMERO_PROJETO;PCP_RETORIO_TIPO_OP;PCP_COMPRIMENTO_FIO;PCP_DIAMETRO_FIO;PCP_NOME_TECNICO;PCP_TIPO_AGULHA;PCP_SEMI_ACABADO;PCP_REF_TESTE_RESISTENCIA;PCP_REF_TESTE_DIAMETRO;PCP_REF_TESTE_COMPRIMENTO;PCP_REF_TESTE_FIXACAO;CONFERIDO_RESP_CONTABIL;ENVIAR_BLING;CLASS_TRIB;ENVIAR_COTACAO
L;;0;0;0;N;N;S;001.001;GERAL;0;0;0;0;;N;N;;L;001.000;S;0;N;;;;;123;0;0;0;;;0;N;;;0;0;0;;;;N;;;;PESO;0;;;;0;0;;0;0;N;0;T;S;;T;A;;0;O;;N;;;S;0;2024-04-01 00:00:00.000;;0;;0;N;0;10;N;0;2;S;;N;;0;S;;0000001;2020-06-01 00:00:00.000;ABBVIE;369;PRODUTO TESTE QUALITEC;PRODUTO TESTE QUALITEC;PRODUTO TESTE QUALITEC;N;0;;;;;;0;0;0;0;I;I;T;8.8;;;10;8.8;0;11;01;;123;;;;;0;0;N;0001;0;0;S;1;N;D;0;;;;;;;0;PRODUTO TESTE QUALITEC;N;0;;;;0;N;;0;0;;N;;0;;;N;1;N;0;0;N;N;N;0;N;0;0;;;S;0;2026-07-20 08:23:12.000;;;;;0;;;0;S;48;;N;;;;;123;N;0;;S;N;N;N;0;N;0;;;;N;;;;;3;;0;0;0;0;0;0;N;;;0;;N;;N;;;0;;0;1;N;0;;;;;;;;;;;;S;N;000001;
L;;0;0;0;N;N;S;001.000;0000005240;0;0;0;177.44;;N;N;;O;003.011;S;0;N;;;;;;0;0;0;;;0;S;;;0;0;0;O;;;N;;;;PESO;0;;;;0;0;;0;0;N;0;I;S;;T;A;;0;M;;N;;;S;0;2016-05-15 00:00:00.000;2013-04-01 00:00:00.000;0;0003107;0;S;0;107;N;0;2;N;30042051;S;N;0;S;;0016699;2013-07-04 00:00:00.000;AUROBINDO PHARMA;93;CEFALOTINA SODICA 1G SOL INJ CX 50FA X 1;CEFALOTINA SODICA 1G SOL INJ CX 50FA X 1;CEFALOTINA SODICA 1G SOL INJ CX 50FA X 1;N;0;;;;;;0;0;0;0;T;T;T;107;0;0;107;107;177.44;177.44;UNI;;;7898361881450;000222255;;;0;0;S;0001;0;1;S;1;S;N;0;;;;;;;0;;N;0;;;;0;N;;0;0;;N;;0;;;S;1;N;0;0;S;S;S;0;N;0;0;;;S;0;2026-07-20 08:23:09.000;;;;;0;;;0;N;48;;N;;;;;;N;0;;S;N;N;N;0;N;;;;;;;;;;33;;;;;;0;;N;;;0;;N;;N;;;0;;;1;N;0;;;;;;;;;;;;S;N;000001;
L;;0;0;0;N;N;S;009.000;0000005241;0;0;0;379.61;;N;N;;O;003.011;S;0;N;;;;;;0;196.84;199.32;;;0;S;;;0;0;0;O;;;N;;;;PESO;0;;;;0;0;;0;0;N;0;I;S;;T;A;;0;M;;N;;;S;0;2016-06-29 00:00:00.000;2013-03-27 00:00:00.000;0;0003125;0;S;0;132.09;N;0;2;N;30042059;S;N;335;S;;0016757;2013-07-04 00:00:00.000;ABL-ANTIBIOTICOS;149;CEFAZOLINA SODICA 1G PO INJ CX 50 FA GEN;CEFAZOLINA SODICA 1G PO INJ CX 50 FA GEN;CEFAZOLINA SODICA 1G PO INJ CX 50 FA GEN;N;0;;;;;;0;0;0;0;T;T;T;132.09;0;0;379.61;132.09;181.11;181.11;CX.;;;7898901848509;000231965;;;0;0;S;0001;0;1;S;1;N;N;0;;;;;;;0;;N;0;;;;201.86;N;;0;0;030;N;;0;;;S;1;N;0;0;S;S;S;0;N;0;0;;;S;0;2026-07-20 08:23:09.000;;;;;0;;;0;N;48;;N;;;;;;N;0;;S;N;N;N;0;N;;;;;;;;;;6;;;;;;0;;N;;;0;;N;;N;;;0;;;1;N;0;;;;;;;;;;;;S;N;000001;
L;;0;0;0;N;N;S;001.000;0000005336;0;0;0;56.58;;N;N;;O;003.011;S;0;N;;;;;;0;0;0;;;0;S;;;0;0;0;O;;;N;;;;PESO;0;;;;0;0;;0;0;N;0;;S;;T;A;;0;M;;N;;;S;0;1899-12-30 00:00:00.000;2013-04-04 00:00:00.000;0;0003788;0;S;0;73.92;N;0;2;N;30041012;S;N;0;S;;0017457;2013-07-04 00:00:00.000;GLAXOSMITHKLINE;40;CLAVULIN BD 875MG CX 14 COMP;CLAVULIN BD 875MG CX 14 COMP;CLAVULIN BD 875MG CX 14 COMP;N;0;;;;;;0;0;0;0;T;T;T;73.92;0;0;56.58;73.92;56.58;56.58;CX;;;7896015510022;000216036;;;0;0;S;0001;0;1;S;1;N;N;0;;;;;;;0;;N;0;;;;0;N;;0;0;;N;;0;;;S;1;N;0;0;S;S;S;0;N;0;0;;;S;0;2026-07-20 08:23:09.000;;;;;0;;;0;N;48;;N;;;;;;N;0;;S;N;N;N;0;N;0;;;;N;;;;;157;;0;0;0;0;0;73.92;N;;;0;;N;;N;;;0;;0;1;N;0;;;;;;;;;;;;S;N;000001;
L;;0;0;0;N;N;S;010.000;0000005336;0;0;0;70.24;;N;N;;O;003.011;S;0;N;;;;;;0;0;0;;;0;S;;;0;0;0;O;;;N;;;;PESO;0;;;;0;2;;0;0;S;0;;S;;T;A;;0;M;;N;;;S;0;1899-12-30 00:00:00.000;2013-04-04 00:00:00.000;0;0003789;0;S;0;0;N;0;2;N;30041012;S;N;0;S;;0017498;2013-07-04 00:00:00.000;GLAXOSMITHKLINE;40;CLAVULIN BD 875MG CX 20 COMP;CLAVULIN BD 875MG CX 20 COMP;CLAVULIN BD 875MG CX 20 COMP;N;0;;;;;;0;0;0;0;T;T;T;70.24;0;0;70.24;70.24;70.24;70.24;KG;;;7896015510015;000216037;;;0;0;S;0001;0;1;S;1;N;N;0;;;;;;;0;;N;0;;;;0;N;;0;0;;N;;0;;;S;1;N;0;0;S;S;S;0;N;0;0;;;S;0;2026-07-20 08:23:09.000;;;;;0;;;0;N;48;;N;;;;;;N;0;;S;N;N;N;0;N;0;;;;N;;;;;157;;0;0;0;0;0;0;N;;;0;;N;;N;;;0;;0;1;N;0;;;;;;;;;;;;S;N;000001;
L;;;;;N;N;S;001.000;0000005376;0;0;0;415.95;;N;N;;O;003.011;S;0;N;;;;;;0;0;0;;;0;S;;;0;0;0;O;;;N;;;;PESO;0;;;;0;0;;0;0;N;0;I;S;;T;A;;0;M;;N;;;S;0;2016-01-13 00:00:00.000;2013-04-01 00:00:00.000;0;0003986;0;S;0;3.39;N;0;2;N;30049099;S;N;1.91;S;;0017624;2013-07-04 00:00:00.000;HALEXISTAR;1;CLORETO DE SODIO 0,9% SF 100 ML;CLORETO DE SODIO 0,9% SF 100 ML;CLORETO DE SODIO 0,9% SF 100 ML;N;0;;;;;;0;0;0;0;M;T;T;3.39;0;0;3.56;3.39;1.91;1.91;UNI;;;7898170783266;000238643;;;0;0;S;0001;0;1;S;1;N;N;0;;;;;;;0;CLORETO DE SODIO 0,9% SF 100 ML;N;0;0;0;0;0;N;;0;0;;N;;0;;;S;1;N;0;0;S;S;S;0;N;0;0;;;S;0;2026-07-20 08:23:09.000;;;;;0;;;0;;48;;N;;;;;;N;;;S;N;N;N;0;N;;;;;;;;;;166;;;;;;0;3.39;N;;;0;;N;;N;;;0;;;1;N;0;;;;;;;;;;;;S;N;000001;
L;;0;0;0;N;N;S;001.000;0000005376;0;0;0;81.99;;N;N;;O;003.011;S;0;N;;;;;;0;0;0;;;0;S;;;0;0;0;O;;;N;;;;PESO;0;;;;0;0;;0;0;N;0;;S;;T;A;;0;M;;N;;;S;0;1899-12-30 00:00:00.000;2013-04-01 00:00:00.000;0;0003987;0;S;0;3.89;N;0;2;N;30049099;S;N;2.3;S;;0017625;2013-07-04 00:00:00.000;HALEXISTAR;1;CLORETO DE SODIO 0,9% SF 250ML;CLORETO DE SODIO 0,9% SF 250ML;CLORETO DE SODIO 0,9% SF 250ML;N;0;;;;;;0;0;0;0;M;T;T;3.89;0;0;3.32;3.89;2.3;3.89;UNI;;;7898170783082;000238646;;;0;0;S;0001;0;1;S;1;N;N;0;;;;;;;0;CLORETO DE SODIO 0,9% SF 250ML;N;0;0;0;0;0;N;;0;0;;N;;0;;;S;1;N;0;0;S;S;S;0;N;0;0;;;S;0;2026-07-20 08:23:09.000;;;;;0;;;0;N;48;;N;;;;;;N;0;;S;N;N;N;0;N;0;;;;N;;;;;166;;0;0;0;0;0;3.89;N;;;0;;N;;N;;;0;;0;1;N;0;;;;0;;;N;;;;;S;N;000001;
L;;0;0;0;N;N;S;001.000;0000004812;0;0;0;16.49;;N;N;;O;003.011;S;0;N;;;;;;0;0;0;;;0;S;;;0;0;0;O;;;N;;;;PESO;0;;;;0;0;;0;0;N;0;;S;;T;A;;0;M;;N;;;S;0;2024-07-08 00:00:00.000;2013-04-01 00:00:00.000;0;0004649;0;S;0;13.84;N;0;2;N;30049039;S;N;0;S;;0018445;2013-07-04 00:00:00.000;TEUTO;40;CLORIDRATO DE TRAMADOL 50MG CX 10 CAP GE;CLORIDRATO DE TRAMADOL 50MG CX 10 CAP GE;CLORIDRATO DE TRAMADOL 50MG CX 10 CAP GE;N;0;;;;;;0;0;0;0;T;T;T;13.84;0;0;16.49;13.84;16.49;16.49;UNI;;;7896112121145;000227309;;;0;0;S;0001;0;1;S;1;N;N;0;;;;;;;0;;N;0;;;;0;N;;0;0;;N;;0;;;S;1;N;0;0;S;S;S;0;N;0;0;;;S;0;2026-07-20 08:23:09.000;;;;;0;;;0;N;48;;N;;;;;;N;0;;S;N;N;N;0;N;0;;;;N;;;;;325;;0;0;0;0;0;13.84;N;;;0;;N;;N;;;0;;0;1;N;0;;;;;;;;;;;;S;N;000001;
L;;;;;N;N;S;001.000;0000005241;0;0;0;177.8;;N;N;;O;003.011;S;0;N;;;;;;0;0;0;;;0;S;;;0;0;0;O;;;N;;;;PESO;0;;;;0;0;;0;0;N;0;I;S;;T;A;;0;M;;N;;;S;0;2014-11-24 00:00:00.000;2013-04-03 00:00:00.000;0;0006861;0;S;0;37.4;N;0;2;N;30042059;S;N;124;S;;0020703;2013-07-04 00:00:00.000;BLAU;85;FAZOLON 1000MG PO INJ CX 20FA;FAZOLON 1000MG PO INJ CX 20FA;FAZOLON 1000MG PO INJ CX 20FA;N;0;;;;;;0;0;0;0;M;T;T;30.6;0;0;34;30.6;124;124;CX.;;;;;;;0;0;S;0001;0;1;S;1;N;N;0;;;;;;;0;;N;0;;;;0;N;;0;0;;N;;0;;;S;1;N;0;0;S;S;S;0;N;0;0;;;S;0;2026-07-20 08:23:10.000;;;;;0;;;0;;48;;N;;;;;;N;;;S;N;N;N;0;N;;;;;;;;;;56;;;;;;0;;N;;;0;;N;;N;;;0;;;1;N;0;;;;;;;;;;;;S;N;000001;
L;;;;;N;N;S;001.000;0000006351;0;0;0;1371.12;;N;N;;O;003.011;S;0;N;;;;;;0;207.06;208.49;;;0;S;;;0;0;0;O;;;N;;;;PESO;0;;;;0;0;;0;0;N;0;I;S;;T;A;;0;M;;N;;;S;0;2016-01-04 00:00:00.000;2013-03-27 00:00:00.000;0;0010026;0;S;0;139.38;N;0;2;N;30042099;S;N;178.5;S;;0023422;2013-07-04 00:00:00.000;ABL-ANTIBIOTICOS;149;MEROPENEM 1G CX 10 FA GEN;MEROPENEM 1G CX 10 FA GEN;MEROPENEM 1G CX 10 FA GEN;N;0;;;;;;0;0;0;0;T;T;T;128.36;0;0;133.87;127.1;178.5;178.5;CX.;;;7898911244216;000224012;;;0;0;S;0001;0;1;S;1;N;N;0;;;;;;;0;;N;0;0;0;0;209.92;N;;0;0;;N;;0;;;S;1;N;0;0;S;S;S;0;N;0;0;;;S;0;2026-07-20 08:23:11.000;;;;;0;;;0;;48;;N;;;;;;N;;;S;N;N;N;0;N;;;;;;;;;;6;;;;;;0;;N;;;0;;N;;N;;;0;;;1;N;0;;;;;;;;;;;;S;N;000001;
