SITUACAO_COMPRA;PRECO_VENDA4ANT;MARKUP_PRECO_VENDA2;MARKUP_PRECO_VENDA3;MARKUP_PRECO_VENDA4;PRODUTO_BALANCA;ACOMPANHAMENTO;EXPORTAR_MOBILE;CODIGO_GRUPO;N_SAIS;PESO;CUBICAGEM;QTDE_PRODUTOS_PRATELEIRA;PRECO_CUSTO_ELETRONICO;CODIGO_DUN14;PSICOTROPICO;USO_CONTINUO;TIPO_RECEITA;TIPO_PRECO;CODIGO_LINHA;ATUALIZA_PRECO_ELETRO;MARKUP;INFORMA_DESC_VENDA;COR_ID;MEDIDA;GRADE_ID;MULTIPLICADOR;AUTORIA;IPI_ENTRADA;PRECO_VENDA2;PRECO_VENDA3;PRECO_VENDA2ANT;PRECO_VENDA3ANT;MARKUP_PRECO_VENDA;GERA_AUDITORIA;CODIGO_CLASSE;PART_NUMBER;VALOR_IPI_FIXO;VALOR_PIS_FIXO;VALOR_COFINS_FIXO;TIPO_MEDICAMENTO;LC_SERVICO_COD;PERMITIR_ALTERAR_PCO_NA_VENDA;ALTERA_PRECO;CODIGO_PROFIS;PRECO_FABRICA_DOLAR;PRECO_CUSTO_DOLAR;FATOR_MEDIDA;MAXIMO_PERCENTUAL;OBSERVACAO_ID;OBSERVACAO_ID_FORA;OBSERVACAO_ID_EXTERIOR;ICMS_INTERNO_RET;ORIGEM_MERCADORIA;MARKUP_MINIMO;QTDECOMPRIMIDOS;REDUCAO_BASE_ISSQN;LOTE_AUTOMATICO_ENTRADA;ISSQN;TRIBUTAVEL_EXPORTACAO;FRETE_BASE_ICMS;ULTIMO_CODIGO_EXP;IPPT;IAT;CODIGO_CNAE;PRECO_MAXIMO_CONSUMIDORANT;TIPO_PRODUTO_MEDICAMENTO;ESTRUTURA_ID;NAOSUGERIRCOMPRA;PERCENTDESCPROMOCAO;IMPORTACAO_CONDICAO;ATUALIZARPRCFABRICA;PRECO_PROMOCAO;PRECO_PROMOCAO_VENCTO;DATA_ALTERACAO_PRECOFABRICA;REDUCAO_BASE;CODIGO_PRO_ANT;REDUCAO_BASE_FORA;PRECO_DOLAR_ATUALIZA;PESO_BRUTO;PRECO_CUSTO_CONTABIL;DELIVERY;DELIVERY_DIAS_CONSUMO;TIPO_PRODUTO;FORMAR_PRECO_VENDA;CLASSIFICACAO_FISCAL;INTEGRAR;COMOFORMAR_PRECO_ENTRADA;PRECO_MAXIMO_CONSUMIDOR;NOTA_FISCAL;PRECO_VENDAANT;CODIGO_PRO;DATA_CADASTRO;MARCA;CODIGO_EXP;NOME_PRODUTO;NOME_PRODUTO_CIENTIFICO;DESCRICAO_COMPRA;GENERICO;CC_DESCONTO_EQUILIBRIO;QUANTIDADE_CAIXA;ALTURA;LARGURA;PRECO_MEDIO_FABRICA;PRCREFFARMAPOPULAR;PERC_COFINS;PERC_PIS;COMISSAO_REVENDA_FORNECEDOR;ICMS_INTERNO;PIS_CONFINS;TRIBUTAVEL;TRIBUTAVEL_FORA;PRECO_CUSTO;FATOR_DE_LUCRO;FATOR_DE_LUCROMINIMO;PRECO_FABRICA;PRECO_MEDIO;PRECO_MINIMO1;PRECO_VENDA1;UNIDADE;ENDERECO_ESTOQ;ENDERECO_PRAT;CODIGO_BARRA;CODIGO_AUXILIAR;CODIGO_INDUSTRIA;COD_ITX;BONIF_COMPRA;BONIF_VENDA;BUSCA_LOTE;CODIGO_PRAZO;COMISSAO;EMBALAGEM_PADRAO;ESTIMATIVA;FRACAO_VENDA;HOSPITALAR;SUSPENSO;IPI;PRODUTO_ESPECIAL;PRECO_CUSTOANT;PRECO_MINIMOANT;PRECO_MEDIOANT;PRECO_FABRICAANT;PRECO_DOLARANT;PRECO_DOLAR_MINIMO;NOME_LICITACAO;COMPRA_COTACAO;MARKUP_PRECO_MINIMO;DESCONTO1;DESCONTO2;DESCONTO3;PRECO_VENDA4;REFRIGERADO;PRECO_FORMADO;PERC_COMERCIAL;PERC_FINANCEIRO;CODIGO_GENERO;SNGPC;REGISTRO_MS;PESO_EMBALAGEM;REFERENCIA;PRECO_DOLAR_MINIMOANT;CONSISTE_ESTOQUE;ETIQUETA_PRODUTO;DESTACAR_OBS_ESPECIAL;TIPO_MARKETING;PESO_MEDIDA;ACEITA_DESC_BONIFICACAO;ACEITA_DESC_COMERCIAL;ACEITA_DESC_FINANCEIRO;DESCONTO_MAXIMO;SOLICAUTORIZVENDA;ICMS_EXTERNO;DIAS_GARANTIA;PRECO_VENDANOVO;PRECO_VENDANOVO_DATA;GERAR_TAREFA;PRECO_DOLAR;DATA_HORA_ALTERACAO;EMPRESA_ALTERACAO;USUARIO_ALTERACAO;PRECO_MINIMO1_PADRAO;PRECO_VENDA1_PADRAO;PRECO_DOLAR_PADRAO;CST_PIS;CST_COFINS;CODIGO_REA;SUSPENSO_COMPRA;QTD_PARC_APROP_CIAP;RECEITA_PRODUTO;CONSISTE_PCO_MINIMO_CONTACORR;RECEITA_CREDITO_PISCOFINS;TIPO_MEDICAMENTO_SNGPC;FUNCAO_BEM;VIDA_UTIL_BEM;ENDERECO_PULMAO;ALOCACAO_ESPECIAL;QTD_FARMACIA_POPULAR;UNI_FARMACIA_POPULAR;CALCULA_CONTA_CORRENTE;WMS;NFE_PRECO_LIQUIDO;ISENCAO_PARTILHA_ICMS;QTD_MULTIPLA_VENDA;DESTACA_FUNDO_COMBATE_POBREZA;PRAZO_VALIDADE;PRECO_VENDA5ANT;PRECO_VENDA6ANT;ID_DEPTO_PRODUTO;ENVIAR_ECOMMERCE;PESO_CUBICO;COMPRIMENTO;URL_IMAGEM_ECOMMERCE;ID_CATEGORIA;MARCA_ID;CEST;PRECO_VENDA5;MARKUP_PRECO_VENDA5;PRECO_VENDA6;MARKUP_PRECO_VENDA6;PERC_LIMITE_COMISSAO_PROD;PRECO_MEDIO_CONTABIL;DESATIVACAO_AUTOMATICA;ID_PRODUTO_OCART;DETALHE_PRODUTO;PERC_VERBA_CUSTO;NAOSUGERIRESTOQUEMINIMO;ENTRADA_ESTOQUE_QUARENTENA;CATALOGO_ID;ENVIAR_WHATSAPP;WHATSAPP_NOME;WHATSAPP_DESCRICAO;WHATSAPP_PRECO;WHATSAPP_DATA_HORA_SINC;QTDE_DIAS_RETORNO_QUARENTENA;QTDE_CAIXA_PCP;SUBIR_CADASTRO_API;POTENCIA;PCP_NUMERO_PROJETO;PCP_RETORIO_TIPO_OP;PCP_COMPRIMENTO_FIO;PCP_DIAMETRO_FIO;PCP_NOME_TECNICO;PCP_TIPO_AGULHA;PCP_SEMI_ACABADO;PCP_REF_TESTE_RESISTENCIA;PCP_REF_TESTE_DIAMETRO;PCP_REF_TESTE_COMPRIMENTO;PCP_REF_TESTE_FIXACAO;CONFERIDO_RESP_CONTABIL;ENVIAR_BLING;CLASS_TRIB;ENVIAR_COTACAO
L;;30.6;30.6;40.8;N;N;S;001.000;0000004611;0.5;0;0;62.34;17897595900593;N;N;;L;003.001;S;0;N;;;;;;0;130;130;;;10.2;N;;;0;0;0;S;;;N;;;;PESO;0;4;4;;0;0;0;0;0;N;0;I;S;;T;A;;0;M;;N;;;S;0;1899-12-30 00:00:00.000;2013-04-04 00:00:00.000;0;;0;S;0.7;100;N;0;0;N;;S;3;150;S;;0000001;2013-07-04 00:00:00.000;SANOFI-AVENTIS;12103;A A S 100MG CX 20BL X 10 COMP INF;A A S 100MG CX 20BL X 10 COMP INF;A A S 100MG CX 20BL X 10 COMP INF;N;0;;2;1;;;0;0;0;0;T;T;T;100;0;0;100;100;110;110;CX;;;7897595900593;000091022;;;0;0;S;0001;0;1;S;1;N;N;0;;;;;;;0;A A S 100MG CX 20BL X 10 COMP INF;N;10.2;;;;140;N;;0;0;;N;1832603860030;0.7;;;S;1;N;0;0;S;S;S;0;N;0;15;;;S;80;2026-08-21 18:36:14.000;14.115.388/0001-80;00200;;;0;;;0;N;48;;N;;;;;;S;0;;S;N;N;N;1;N;0;;;;N;4;3;;;384;;150;51;160;10.2;0;96.25;N;;;0;;N;;N;;;0;;0;1;N;0;;;;0;;;N;;;;;S;N;000001;
L;;54.825;57.477;60.1392;N;N;S;001.001;0000004611;0;0;0;9.9;17897595903693;N;N;;L;001.001;S;0;N;;;;;;0;10.2;15.48;;;37.8726;N;;;0;0;0;S;;;N;;;;PESO;0;4;4;;0;0;;0;0;N;0;T;S;;T;A;;0;M;;N;;;S;0;2017-05-10 00:00:00.000;2013-04-04 00:00:00.000;0;;0;S;0;0;N;0;0;N;99999999;S;3;16.25;S;;0000007;2013-07-04 00:00:00.000;SANOFI-AVENTIS;12103;A A S PROTECT 100MG CX 30 COMP;A A S PROTECT 100MG CX 30 COMP;A A S PROTECT 100MG CX 30 COMP;N;0;;;;;;0;0;0;0;T;T;T;9.9;0;0;9.9;9.9;10;10;UNI;;;7897595903693;000225937;;;0;0;S;0001;0;30;S;1;S;D;0;;;;;;;0;;N;37.8726;;;;15.74;N;;0;0;;N;1832603870011;0;;;S;1;N;0;0;S;S;S;0;N;0;15;;;S;0;2026-08-21 18:36:14.000;14.115.388/0001-80;00200;;;0;;;0;N;48;;N;;;;;;N;0;;S;N;N;N;1;N;0;;;;;;;;;384;;16.25;65.4534;10;37.8726;0;;N;;;0;;N;;N;;;0;;;1;N;0;;;;;;;;;;;;S;N;000001;
L;;54.825;57.477;60.1392;N;N;S;001.001;0000004618;0;0;0;808.89;17896016806025;N;N;;L;001.001;S;0;N;;;;;;0;825.07;1264.7;;;37.8726;N;;;0;0;0;O;;;N;;;;PESO;0;4;4;;0;0;;0;0;N;0;I;S;;T;A;;0;M;;N;;;S;0;1899-12-30 00:00:00.000;2013-04-03 00:00:00.000;0;;0;S;0;0;N;0;0;N;;S;3;1327.95;S;;0000024;2013-07-04 00:00:00.000;B-MS;13541;ABILIFY 20MG CX 30 COMP;ABILIFY 20MG CX 30 COMP;ABILIFY 20MG CX 30 COMP;N;0;;;;;;0;0;0;19;T;T;T;808.89;0;0;808.89;808.89;808.89;808.89;UNI;;;7896016806025;000218553;;;0;0;S;0001;0;30;S;1;S;S;0;;;;;;;0;;N;37.8726;;;;1285.81;N;;0;0;;N;;0;;;S;1;N;0;0;S;S;S;0;N;12;15;;;S;0;2026-08-19 17:15:06.000;;;;;0;;;0;N;48;;N;;;;;;N;0;;S;N;N;N;1;N;0;;;;N;;;;;100;;1327.95;65.4534;808.89;37.8726;0;0;N;;;0;;N;;N;;;0;;0;1;N;0;;;;;;;;;;;;S;N;000001;
L;;54.825;57.477;60.1392;N;S;S;001.001;0000004626;0;0;0;16.28;17895296309011;N;N;;L;001.001;S;0;N;;;;;;0;5.07;5.17;;;37.8726;S;;;0;0;0;S;;;N;;;;PESO;0;4;4;;0;0;;0;0;N;0;I;S;;T;A;;0;M;;N;;;S;0;2022-01-24 00:00:00.000;2013-05-13 00:00:00.000;0;;0;S;0;4.61;N;0;0;N;30049069;S;3;6.29;S;;0000080;2013-07-04 00:00:00.000;NOVA QUIMICA;10408;ACEFLOR 100MG 12CPR;ACEFLOR 100MG 12CPR  NQ;ACEFLOR 100MG 12CPR;N;0;;;;;;0;0;0;17;I;T;T;3.83;0;0;23.78;2.98;4.61;4.61;CX.;;;7895296309011;576177;;;0;0;S;0001;0;12;S;1;N;S;0;;;;;;;0;ACEFLOR 100MG 12CPR ;N;37.8726;;;;5.22;N;;0;0;;N;1181903020066;0;;;S;1;S;0;0;S;S;S;0;N;12;15;;;S;0;2026-08-21 18:36:14.000;14.115.388/0001-80;00200;;;0;;;0;N;48;;N;;;;;;N;0;CPR;S;N;N;N;1;N;0;;;;N;;;;;181;;6.29;65.4534;4.61;37.8726;0;3.01;N;;;0;;N;;N;;;0;;;1;N;0;;;;;;;;;;;;S;N;000001;
L;;54.83;57.48;60.14;N;N;S;003.000;0000004631;0;0;0;4.75;17896004721903;N;N;;L;002.002;S;0;N;;;;;;0;3.93;4;;;37.87;S;;;0;0;0;G;;;N;;;;PESO;0;4;4;;0;0;;0;0;N;0;I;S;;T;A;;0;M;;N;;;S;0;1899-12-30 00:00:00.000;2013-04-02 00:00:00.000;42.10526;;16.66666;S;0;2.538899;N;0;0;N;30043999;S;3;7.8;S;;0000088;2013-07-04 00:00:00.000;EMS GENERICO;33504;ACETATO DE DEXAMETASONA 1G CREME DERM BG;ACETATO DE DEXAMETASONA 1G CREME DERM BG;ACETATO DE DEXAMETASONA 1G CREME DERM BG;N;0;;;;;;0;0;0;19;M;T;T;2.54;0;0;2.73;2.54;3.5;3.5;CX;;;7896004721903;;10806;;0;0;S;0001;0;1;S;1;S;N;0;;;;;;;0;;N;37.87;0;0;0;4.07;N;;0;0;;N;1023508480013;0;;;S;1;N;0;0;S;S;S;0;N;12;15;;;S;0;2026-08-28 14:47:36.000;;;;;0;;;0;N;48;;N;;;;;;N;0;;S;N;N;N;1;N;0;;;;N;;;;;62;;4.2;65.45;3.5;37.87;0;2.538899;N;;;0;;N;;N;;;0;;0;1;N;0;;;;0;;;N;;;;;S;N;000001;
L;;54.825;57.477;60.1392;N;N;S;001.001;0000004631;0;0;0;6.09;17897732601727;N;N;;L;001.001;S;;N;;;;;;;6.21;9.52;;;37.8726;N;;;;;;S;;;N;;;;PESO;0;4;4;;0;0;;0;0;N;0;I;S;;T;A;;0;M;;N;;;S;0;;2013-03-27 00:00:00.000;0;;0;S;0;0;N;0;0;N;;S;3;10;S;;0000100;2013-07-04 00:00:00.000;SOBRAL;13541;ACETAZONA 1MG/G CREME DERM BG 10G;ACETAZONA 1MG/G CREME DERM BG 10G;ACETAZONA 1MG/G CREME DERM BG 10G;N;;;;;;;0;0;;0;T;T;T;6.09;0;0;6.09;6.09;6.09;6.09;UNI;;;7897732601727;000235261;;;0;0;S;0001;0;1;S;1;S;D;0;;;;;;;;;N;37.8726;;;;9.68;N;;;;;;;0;;;S;1;N;0;0;S;S;S;0;N;0;15;;;S;0;2026-08-19 17:15:06.000;;;;;0;;;0;;48;;N;;;;;;N;;;S;N;N;N;1;N;;;;;;;;;;285;;10;65.4534;6.09;37.8726;0;;N;;;0;;N;;N;;;0;;;1;N;0;;;;;;;;;;;;S;N;000001;
L;;50;52;54;N;N;S;003.000;0000004635;0;0;0;9.03;17896006259732;N;N;;L;002.002;S;0;N;;;;;;0;13.815;13.9992;;;30;S;;;0;0;0;G;;;N;;;;PESO;0;4;4;;0;0;;0;0;N;0;I;S;;T;A;;0;M;;N;;;S;0;2021-04-18 00:00:00.000;2013-04-03 00:00:00.000;0;;0;S;0;10.59;N;0;0;N;30049059;S;3;14.5518;S;;0000106;2013-07-04 00:00:00.000;UNIAO QUIMICA;758;ACETILCISTEINA 10% SOL INJ 5AMP X 3ML GE;ACETILCISTEINA 10% SOL INJ 5AMP X 3ML GE;ACETILCISTEINA 10% SOL INJ 5AMP X 3ML GE;N;0;;;;;;0;0;0;17;I;T;T;9.21;0;0;10.5;9.21;11.973;11.973;UNI;;;7896006259732;;;;0;0;S;0001;0;1;S;1;S;S;0;;;;;;;0;;N;30;;;;14.1834;N;;0;0;;N;1049713170016;0;;;S;1;N;0;0;S;S;S;0;N;12;15;;;S;0;2026-08-21 18:36:13.000;14.115.388/0001-80;00200;;;0;;;0;N;48;;N;;;;;;N;0;;S;N;N;N;1;N;0;;;;N;;;;;356;;14.5518;58;11.973;30;0;9.21;N;;;0;;N;;N;;;0;;;1;N;0;;;;;;;;;;;;S;N;000001;
L;;54.83;57.48;60.14;N;N;S;003.000;0000004635;0;0;0;12.97;17896004708706;N;N;;L;002.002;S;0;N;;;;;;0;10.44;10.61;;;37.87;S;;;0;0;0;G;;;N;;;;PESO;0;4;4;;0;0;;0;0;N;0;I;S;;T;A;;0;M;;N;;;S;0;1899-12-30 00:00:00.000;2013-04-02 00:00:00.000;42.10526;;16.66667;S;0;6.74309;N;0;0;N;30049059;S;3;11.15;S;;0000111;2013-07-04 00:00:00.000;EMS GENERICO;13541;ACETILCISTEINA 200MG CX 16 ENV X 5G GEN;ACETILCISTEINA 200MG CX 16 ENV X 5G GEN;ACETILCISTEINA 200MG CX 16 ENV X 5G GEN;N;0;;;;;;0;0;0;19;I;T;T;6.74;0;0;7.2;6.74;9.29;9.29;CX.;;;7896004708706;10358;10358;;0;0;S;0001;0;1;S;1;N;N;0;;;;;;;0;;N;37.87;0;0;0;10.79;N;;0;0;;N;1023513420023;0;;;S;1;N;0;0;S;S;S;0;N;12;15;;;S;0;2026-08-21 18:36:13.000;14.115.388/0001-80;00200;;;0;;;0;N;48;;N;;;;;;N;0;UNI;S;N;N;N;1;N;0;;;;N;;;;;62;;11.15;65.45;9.29;37.87;0;6.74309;N;;;0;;N;;N;;;0;;0;1;N;0;;;;0;;;N;;;;;S;N;000001;
L;;54.83;57.48;60.14;N;N;S;003.000;0000004635;0;0;0;24.69;17896004713342;N;N;;L;002.002;S;0;N;;;;;;0;14.15;14.39;;;37.87;S;;;0;0;0;G;;;N;;;;PESO;0;4;4;;0;0;;0;0;N;0;I;S;;T;A;;0;M;;N;;;S;0;1899-12-30 00:00:00.000;2013-04-02 00:00:00.000;42.10526;;16.66667;S;0;9.140615;N;0;0;N;30049059;S;3;15.22;S;;0000127;2013-07-04 00:00:00.000;EMS GENERICO;13541;ACETILCISTEINA 600MG GRAN 16 ENV X 5G GE;ACETILCISTEINA 600MG GRAN 16 ENV X 5G GE;ACETILCISTEINA 600MG GRAN 16 ENV X 5G GE;N;0;;;;;;0;0;0;19;M;T;T;9.14;0;0;9.76;9.14;12.6;12.6;UNI;;;7896004713342;10538;10538;;0;0;S;0001;0;1;S;1;S;N;0;;;;;;;0;;N;37.87;0;0;0;14.63;N;;0;0;;N;1023513420104;0;;;S;1;N;0;0;S;S;S;0;N;12;15;;;S;0;2026-08-21 18:36:13.000;14.115.388/0001-80;00200;;;0;;;0;N;48;;N;;;;;;N;0;;S;N;N;N;1;N;0;;;;N;;;;;62;;15.22;65.45;12.6;37.87;0;9.140615;N;;;0;;N;;N;;;0;;0;1;N;0;;;;0;;;N;;;;;S;N;000001;
L;;54.825;57.477;60.1392;N;N;S;003.000;0000004635;0;0;0;245.87;17898148297986;N;N;;L;002.002;S;0;N;;;;;;0;93.02;112.57;;;37.8726;S;;;0;0;0;G;;;N;;;;PESO;0;4;4;;0;0;;0;0;N;0;I;S;;T;A;;0;M;;N;;;S;0;2014-08-06 00:00:00.000;2013-06-13 00:00:00.000;0;;0;S;0;76.87;N;0;0;N;30049059;S;3;118.2;S;;0000129;2013-07-04 00:00:00.000;PRATI, DONADUZZI;94;ACETILCISTEINA 120MG/G GRAN 200 ENV X 5G;ACETILCISTEINA 120MG/G GRAN 200 ENV X 5G;ACETILCISTEINA 120MG/G GRAN 200 ENV X 5G;N;0;;;;;;0;0;0;0;M;T;T;72;0;0;245.87;70.61;91.2;91.2;UNI;;;7898148297986;000233365;;;0;0;S;0001;0;1;S;1;S;S;0;;;;;;;0;;N;37.8726;;;;114.45;N;;0;0;030;N;1256801270085;0;;;S;1;N;0;0;S;S;S;0;N;0;15;;;S;0;2026-08-21 18:36:13.000;14.115.388/0001-80;00200;;;0;;;0;N;48;;N;;;;;;N;0;;S;N;N;N;1;N;;;;;;;;;;123;;118.2;65.4534;91.2;37.8726;0;47.95;N;;;0;;N;;N;;;0;;;1;N;0;;;;;;;;;;;;S;N;000001;
